kdrg_code,aadrg_code,kdrg_name,mdc_code
A2687,A268,,
A2688,A268,,
A2689,A268,,
A2690,A269,,
A2691,A269,,
A2692,A269,,
A2693,A269,,
A2694,A269,,
A2695,A269,,
A2696,A269,,
A2697,A269,,
A2698,A269,,
A2699,A269,,
A2700,A270,,
A2701,A270,,
A2702,A270,,
A2703,A270,,
A2704,A270,,
A2705,A270,,
A2706,A270,,
A2707,A270,,
A2708,A270,,
A2709,A270,,
A2780,A278,,
A2781,A278,,
A2782,A278,,
A2783,A278,,
A2784,A278,,
A2785,A278,,
A2786,A278,,
A2787,A278,,
A2788,A278,,
A2789,A278,,
A2790,A279,,
A2791,A279,,
A2792,A279,,
A2793,A279,,
A2794,A279,,
A2795,A279,,
A2796,A279,,
A2797,A279,,
A2798,A279,,
A2799,A279,,
A2800,A280,,
A2801,A280,,
A2802,A280,,
A2803,A280,,
A2804,A280,,
A2805,A280,,
A2806,A280,,
A2807,A280,,
A2808,A280,,
A2809,A280,,
A2810,A281,,
A2811,A281,,
A2812,A281,,
A2813,A281,,
A2814,A281,,
A2815,A281,,
A2816,A281,,
A2817,A281,,
A2818,A281,,
A2819,A281,,
A2820,A282,,
A2821,A282,,
A2822,A282,,
A2823,A282,,
A2824,A282,,
A2825,A282,,
A2826,A282,,
A2827,A282,,
A2828,A282,,
A2829,A282,,
A2880,A288,,
A2881,A288,,
A2882,A288,,
A2883,A288,,
A2884,A288,,
A2885,A288,,
A2886,A288,,
A2887,A288,,
A2888,A288,,
A2889,A288,,
A2890,A289,,
A2891,A289,,
A2892,A289,,
A2893,A289,,
A2894,A289,,
A2895,A289,,
A2896,A289,,
A2897,A289,,
A2898,A289,,
A2899,A289,,
A3000,A300,,
A3001,A300,,
A3002,A300,,
A3003,A300,,
A3004,A300,,
A3005,A300,,
A3006,A300,,
A3007,A300,,
A3008,A300,,
A3009,A300,,
A3010,A301,,
A3011,A301,,
A3012,A301,,
A3013,A301,,
A3014,A301,,
A3015,A301,,
A3016,A301,,
A3017,A301,,
A3018,A301,,
A3019,A301,,
A3020,A302,,
A3021,A302,,
A3022,A302,,
A3023,A302,,
A3024,A302,,
A3025,A302,,
A3026,A302,,
A3027,A302,,
